data,id_treballador,hora,posicio,clasificador,familia
2025-04-24,1,10:00,Rampas/cajas vacias,4,7
2025-04-24,1,11:00,Inducciones mesa 1,3,1
2025-04-24,1,12:00,Destinos mesa 1,3,2
2025-04-24,1,13:00,Inducciones mesa 2,2,1
2025-04-24,1,6:00,Inducciones mesa 7,3,1
2025-04-24,1,7:00,Destinos mesa 1,3,2
2025-04-24,1,8:00,Destinos mesa 8,3,2
2025-04-24,1,9:00,Sequence 3,3,6
2025-04-24,3,10:00,Inducciones mesa 3,3,1
2025-04-24,3,11:00,Inducciones mesa 10,2,1
2025-04-24,3,12:00,Destinos mesa 19,2,2
2025-04-24,3,13:00,Destinos mesa 11,2,2
2025-04-24,3,6:00,Destinos mesa 6,3,2
2025-04-24,3,7:00,Inducciones mesa 1,3,1
2025-04-24,3,8:00,Destinos mesa 2,3,2
2025-04-24,3,9:00,Destinos mesa 12,2,2
2025-04-24,4,10:00,Destinos mesa 4,2,2
2025-04-24,4,11:00,Inducciones mesa 1,2,1
2025-04-24,4,12:00,Inducciones mesa 1,4,1
2025-04-24,4,13:00,Destinos mesa 10,4,2
2025-04-24,4,6:00,Destinos mesa 18,2,2
2025-04-24,4,7:00,Destinos mesa 1,2,2
2025-04-24,4,8:00,Precintadora shipping,4,4
2025-04-24,4,9:00,Destinos mesa 2,3,2
2025-04-24,8,10:00,Inducciones mesa 1,2,1
2025-04-24,8,11:00,Inducciones mesa 2,4,1
2025-04-24,8,12:00,Destinos mesa 7,4,2
2025-04-24,8,13:00,Inducciones mesa 5,2,1
2025-04-24,8,6:00,Destinos mesa 1,3,2
2025-04-24,8,7:00,Inducciones mesa 1,2,1
2025-04-24,8,8:00,Inducciones mesa 1,2,1
2025-04-24,8,9:00,Destinos mesa 13,2,2
2025-04-24,9,10:00,Destinos mesa 2,4,2
2025-04-24,9,11:00,Precintadora shipping,2,4
2025-04-24,9,12:00,Destinos mesa 7,2,2
2025-04-24,9,13:00,Destinos mesa 3,2,2
2025-04-24,9,6:00,Destinos mesa 14,2,2
2025-04-24,9,7:00,Destinos mesa 3,3,2
2025-04-24,9,8:00,Inducciones mesa 10,3,1
2025-04-24,9,9:00,Inducciones mesa 6,4,1
2025-04-24,10,10:00,Inducciones mesa 8,3,1
2025-04-24,10,11:00,Destinos mesa 8,3,2
2025-04-24,10,12:00,Inducciones mesa 3,3,1
2025-04-24,10,13:00,Rechazo 3/4,3,5
2025-04-24,10,6:00,Inducciones mesa 3,4,1
2025-04-24,10,7:00,Inducciones mesa 17,2,1
2025-04-24,10,8:00,Rampas/cajas vacias,2,7
2025-04-24,10,9:00,Destinos mesa 11,2,2
2025-04-24,11,10:00,Inducciones mesa 8,3,1
2025-04-24,11,11:00,Inducciones mesa 7,2,1
2025-04-24,11,12:00,Inducciones mesa 2,2,1
2025-04-24,11,13:00,Inducciones mesa 2,2,1
2025-04-24,11,6:00,Inducciones mesa 8,4,1
2025-04-24,11,7:00,Rechazo 3/4,3,5
2025-04-24,11,8:00,Destinos mesa 5,2,2
2025-04-24,11,9:00,Inducciones mesa 2,2,1
2025-04-24,13,10:00,Inducciones mesa 1,2,1
2025-04-24,13,11:00,Inducciones mesa 1,2,1
2025-04-24,13,12:00,Inducciones mesa 1,2,1
2025-04-24,13,13:00,Inducciones mesa 1,2,1
2025-04-24,13,6:00,Inducciones mesa 1,2,1
2025-04-24,13,7:00,Inducciones mesa 1,2,1
2025-04-24,13,8:00,Inducciones mesa 4,2,1
2025-04-24,13,9:00,Inducciones mesa 1,2,1
2025-04-24,24,10:00,Inducciones mesa 1,2,1
2025-04-24,24,11:00,Inducciones mesa 1,2,1
2025-04-24,24,12:00,Inducciones mesa 1,2,1
2025-04-24,24,13:00,Inducciones mesa 1,2,1
2025-04-24,24,6:00,Inducciones mesa 7,4,1
2025-04-24,24,7:00,Inducciones mesa 1,2,1
2025-04-24,24,8:00,Inducciones mesa 1,2,1
2025-04-24,24,9:00,Inducciones mesa 1,2,1
2025-04-24,25,10:00,Inducciones mesa 2,2,1
2025-04-24,25,11:00,Inducciones mesa 1,2,1
2025-04-24,25,12:00,Destinos mesa 8,2,2
2025-04-24,25,13:00,Inducciones mesa 2,2,1
2025-04-24,25,6:00,Inducciones mesa 2,2,1
2025-04-24,25,7:00,Inducciones mesa 1,2,1
2025-04-24,25,8:00,Inducciones mesa 1,2,1
2025-04-24,25,9:00,Inducciones mesa 1,2,1
2025-04-24,28,10:00,Inducciones mesa 1,2,1
2025-04-24,28,11:00,Inducciones mesa 1,2,1
2025-04-24,28,12:00,Inducciones mesa 1,2,1
2025-04-24,28,13:00,Inducciones mesa 2,2,1
2025-04-24,28,6:00,Inducciones mesa 2,2,1
2025-04-24,28,7:00,Inducciones mesa 1,2,1
2025-04-24,28,8:00,Destinos mesa 9,2,2
2025-04-24,28,9:00,Inducciones mesa 1,2,1
2025-04-24,29,10:00,Inducciones mesa 1,2,1
2025-04-24,29,11:00,Inducciones mesa 1,2,1
2025-04-24,29,12:00,Inducciones mesa 1,2,1
2025-04-24,29,13:00,Destinos mesa 6,4,2
2025-04-24,29,6:00,Inducciones mesa 1,2,1
2025-04-24,29,7:00,Inducciones mesa 2,2,1
2025-04-24,29,8:00,Inducciones mesa 1,2,1
2025-04-24,29,9:00,Inducciones mesa 1,2,1
2025-04-24,32,10:00,Inducciones mesa 3,3,1
2025-04-24,32,11:00,Inducciones mesa 11,2,1
2025-04-24,32,12:00,Destinos mesa 16,2,2
2025-04-24,32,13:00,Inducciones mesa 5,2,1
2025-04-24,32,6:00,Inducciones mesa 1,2,1
2025-04-24,32,7:00,Inducciones mesa 2,2,1
2025-04-24,32,8:00,Inducciones mesa 2,2,1
2025-04-24,32,9:00,Inducciones mesa 2,2,1
2025-04-24,33,10:00,Inducciones mesa 2,2,1
2025-04-24,33,11:00,Inducciones mesa 3,2,1
2025-04-24,33,12:00,Inducciones mesa 2,2,1
2025-04-24,33,13:00,Inducciones mesa 2,2,1
2025-04-24,33,6:00,Inducciones mesa 2,2,1
2025-04-24,33,7:00,Inducciones mesa 2,2,1
2025-04-24,33,8:00,Inducciones mesa 1,2,1
2025-04-24,33,9:00,Inducciones mesa 1,2,1
2025-04-24,34,10:00,Destinos mesa 5,2,2
2025-04-24,34,11:00,Inducciones mesa 2,2,1
2025-04-24,34,12:00,Inducciones mesa 4,3,1
2025-04-24,34,13:00,Inducciones mesa 2,2,1
2025-04-24,34,6:00,Inducciones mesa 1,2,1
2025-04-24,34,7:00,Inducciones mesa 1,2,1
2025-04-24,34,8:00,Inducciones mesa 1,2,1
2025-04-24,34,9:00,Inducciones mesa 2,2,1
2025-04-24,36,10:00,Inducciones mesa 14,2,1
2025-04-24,36,11:00,Inducciones mesa 1,2,1
2025-04-24,36,12:00,Inducciones mesa 1,2,1
2025-04-24,36,13:00,Inducciones mesa 1,2,1
2025-04-24,36,6:00,Inducciones mesa 2,2,1
2025-04-24,36,7:00,Inducciones mesa 1,2,1
2025-04-24,36,8:00,Inducciones mesa 2,2,1
2025-04-24,36,9:00,Inducciones mesa 1,2,1
2025-04-24,37,10:00,Inducciones mesa 2,2,1
2025-04-24,37,11:00,Inducciones mesa 1,2,1
2025-04-24,37,12:00,Inducciones mesa 1,2,1
2025-04-24,37,13:00,Inducciones mesa 1,2,1
2025-04-24,37,6:00,Inducciones mesa 2,2,1
2025-04-24,37,7:00,Inducciones mesa 2,2,1
2025-04-24,37,8:00,Inducciones mesa 2,2,1
2025-04-24,37,9:00,Inducciones mesa 1,2,1
2025-04-24,38,10:00,Inducciones mesa 2,2,1
2025-04-24,38,11:00,Inducciones mesa 1,2,1
2025-04-24,38,12:00,Inducciones mesa 1,2,1
2025-04-24,38,13:00,Inducciones mesa 1,2,1
2025-04-24,38,6:00,Inducciones mesa 1,2,1
2025-04-24,38,7:00,Inducciones mesa 1,2,1
2025-04-24,38,8:00,Inducciones mesa 2,2,1
2025-04-24,38,9:00,Inducciones mesa 1,2,1
2025-04-24,40,10:00,Inducciones mesa 1,2,1
2025-04-24,40,11:00,Inducciones mesa 2,2,1
2025-04-24,40,12:00,Inducciones mesa 2,2,1
2025-04-24,40,13:00,Inducciones mesa 2,2,1
2025-04-24,40,6:00,Inducciones mesa 1,2,1
2025-04-24,40,7:00,Inducciones mesa 1,2,1
2025-04-24,40,8:00,Inducciones mesa 1,2,1
2025-04-24,40,9:00,Inducciones mesa 1,2,1
2025-04-24,48,10:00,Inducciones mesa 1,2,1
2025-04-24,48,11:00,Inducciones mesa 1,2,1
2025-04-24,48,12:00,Inducciones mesa 1,2,1
2025-04-24,48,13:00,Inducciones mesa 1,2,1
2025-04-24,48,6:00,Inducciones mesa 2,2,1
